data,total_servido,total_reservas,etapa_acad_4,erro_planejamento_ontem,reservas_media_movel_5d,total_reservas_lag_2,dia_semana_sin,dia_semana_cos,reservas_media_movel_3d,total_reservas_lag_7,total_reservas_lag_1,dia_semana,eh_segunda,total_reservas_lag_3,etapa_acad_1,temp_media_ontem,eh_sexta,etapa_acad_2,chuva_ontem,etapa_acad_3,bert_660,bert_31,bert_761,vespera_feriado,bert_164,bert_510,bert_437,bert_726,bert_250,bert_341,bert_255,bert_658,bert_419,bert_201,bert_568,bert_659,bert_263,bert_184,bert_129,bert_25,bert_107,bert_399,bert_30,bert_300,bert_729,bert_69,bert_738,bert_447,bert_405,bert_429,bert_113
2023-10-24,121.0,127.0,1,7.0,86.8,89.0,0.7818314824680298,0.6234898018587336,85.66666666666667,84.0,78.0,1,0,90.0,0,22.61,0,0,0.0,0,0.04214011,0.5118758,0.044821598,0,0.002324255,-0.017171893,0.001605983,-0.2515152,-0.38046214,0.028348407,-0.24475831,-0.38642928,0.2950206,0.054655127,0.039235856,0.7549287,0.096966594,-0.07867806,-0.35702628,0.6364637,0.4673127,0.13241667,0.14954807,0.055756588,-0.1790626,0.092392735,0.13952142,-0.26327854,0.39149618,-0.13600582,-0.30759287
2023-10-25,106.0,106.0,1,-6.0,97.4,78.0,0.9749279121818236,-0.2225209339563143,98.0,76.0,127.0,2,0,89.0,0,25.96,0,0,0.0,0,0.10955761,0.4738498,0.107872106,0,-0.058364138,-0.058061887,-0.012654978,-0.14422785,-0.19148175,-0.050390124,-0.15819982,-0.2869998,0.5570011,0.06271463,-0.058627542,0.9411409,0.12773436,0.063864104,-0.4229623,0.62174344,0.4015199,0.079434,0.11859265,-0.080577455,0.021312542,-0.099478126,0.25970545,-0.13105474,0.39783207,-0.22660744,-0.27759787
2023-10-26,107.0,107.0,1,0.0,98.0,127.0,0.4338837391175582,-0.900968867902419,103.66666666666669,74.0,106.0,3,0,78.0,0,21.18,0,0,0.0,0,0.031360433,0.21024665,0.06650998,0,0.094086565,-0.094909206,0.18275745,-0.2790198,-0.15307087,0.08757634,0.014722794,-0.2250475,0.38743216,0.12535009,0.09216539,0.8122669,0.10173578,-0.16756497,-0.5354453,0.59482294,0.36198586,0.07382302,0.07922535,-0.06487474,-0.27264306,0.044045642,0.13723297,-0.41580504,0.4294645,-0.045924906,-0.28538007
2023-10-27,107.0,80.0,1,0.0,101.4,106.0,-0.433883739117558,-0.9009688679024191,113.33333333333331,103.0,107.0,4,0,127.0,0,19.99,1,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-10-30,113.0,89.0,1,27.0,99.6,107.0,0.0,1.0,97.66666666666669,90.0,80.0,0,1,106.0,0,21.15,0,0,0.0,0,0.033797134,0.25169158,0.11578908,0,0.027543012,-0.1552722,0.21628685,-0.20296083,-0.1849707,-0.0002231236,-0.2434819,-0.25865936,0.31048256,0.11547562,0.14649673,1.1179838,0.14691617,0.0279524,-0.39676675,0.54547614,0.3549882,0.11078359,0.10233832,0.038483117,-0.2385137,0.094734564,0.014508787,-0.32422444,0.44034743,-0.13796245,-0.32151055
2023-10-31,128.0,143.0,1,24.0,101.8,80.0,0.7818314824680298,0.6234898018587336,92.0,89.0,89.0,1,0,107.0,0,25.06,0,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-12-01,80.0,51.0,1,-15.0,105.0,89.0,-0.433883739117558,-0.9009688679024191,104.0,78.0,143.0,4,0,80.0,0,23.67,1,0,0.0,0,0.0034155932,0.099269696,0.06785693,0,-0.10292701,-0.2765322,0.067905135,-0.1831666,-0.18242717,0.07250521,-0.10804119,-0.2665223,0.32658237,0.16440041,0.22067368,1.2046664,0.18415952,0.12592736,-0.36295146,0.6353011,0.3399742,-0.030211192,0.14487587,-0.059189357,-0.22754696,0.20361026,0.09355293,-0.45921168,0.5375253,-0.037439264,-0.14135835
2023-12-04,72.0,112.0,1,29.0,94.0,143.0,0.0,1.0,94.33333333333331,127.0,51.0,0,1,89.0,0,23.62,0,0,0.0,0,0.026123447,0.15367033,0.15595214,0,0.18088587,-0.08682702,0.14921793,-0.10767325,-0.050350416,0.028616501,0.22867998,-0.38810602,0.35574406,0.1765357,0.16718282,0.5309534,0.25726762,-0.15494491,-0.59608805,0.38374203,0.25736582,-0.03056952,-0.058924012,-0.062035136,-0.18547095,0.028058568,0.14468265,-0.49230656,0.43206385,-0.01084519,-0.36167997
2023-12-05,119.0,134.0,1,-40.0,95.0,51.0,0.7818314824680298,0.6234898018587336,102.0,106.0,112.0,1,0,143.0,0,23.95,0,0,0.0,0,-0.0065392004,0.13590191,0.07268581,0,-0.007250891,0.012476118,0.0072002886,-0.016523419,-0.16422874,0.076053634,-0.2684899,-0.45768854,0.20367149,0.14743553,0.15469024,0.8136817,0.26366132,0.008042286,-0.247899,0.70564145,0.43398377,0.13585821,0.052925132,0.026796173,-0.26130983,-0.14296529,0.24958107,-0.14302799,0.39805904,-0.1212941,-0.2562959
2023-12-06,91.0,111.0,1,-15.0,105.8,112.0,0.9749279121818236,-0.2225209339563143,99.0,107.0,134.0,2,0,51.0,0,22.91,0,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
