data,id_aluno_anonimo,dia_semana,servida
2025-02-20,182ab2b515c7,Quinta-feira,1
2025-02-20,60c6ec63cf0d,Quinta-feira,1
2025-02-20,3bbeeb77a9b7,Quinta-feira,1
2025-02-20,c15d25d9c7df,Quinta-feira,1
2025-02-20,bdedbfa75ab5,Quinta-feira,1
2025-02-20,1e569095fb53,Quinta-feira,1
2025-02-20,01f8451aaa06,Quinta-feira,1
2025-02-20,cc02ca1ca595,Quinta-feira,1
2025-02-20,6af904f5bee1,Quinta-feira,1
2025-02-20,dd21cb91de2f,Quinta-feira,1
2025-02-20,ca38cf9a4795,Quinta-feira,1
2025-02-20,e5347006116c,Quinta-feira,1
2025-02-20,99250719f233,Quinta-feira,1
2025-02-20,30fcdb0c3d1c,Quinta-feira,1
2025-02-20,6fcd7eac6db9,Quinta-feira,1
2025-02-21,d1802eda22a6,Sexta-feira,1
2025-02-21,47ea4259aebe,Sexta-feira,1
2025-02-21,82e51f80e68d,Sexta-feira,1
2025-02-21,95c13154bb89,Sexta-feira,1
2025-02-21,ea7f78b39383,Sexta-feira,1
2025-02-21,efdc2c15dba5,Sexta-feira,1
2025-02-21,93296906ca48,Sexta-feira,1
2025-02-21,040eef61e258,Sexta-feira,1
2025-02-21,0ea788547236,Sexta-feira,1
2025-02-21,027f4d10d8a1,Sexta-feira,1
2025-02-21,4674412bd2fa,Sexta-feira,1
2025-02-21,dce3c331d630,Sexta-feira,1
2025-02-21,0dd77549cb88,Sexta-feira,1
2025-02-21,bf04e4b2c5fd,Sexta-feira,1
2025-02-21,023886d488c5,Sexta-feira,1
2025-02-21,187b0e064be0,Sexta-feira,1
2025-02-21,67315b9322e9,Sexta-feira,1
2025-02-21,772130313177,Sexta-feira,1
2025-02-21,1e57be41a013,Sexta-feira,1
2025-02-21,b2d88ec926a1,Sexta-feira,1
2025-02-21,2022c28006fb,Sexta-feira,1
2025-02-21,6521181e2fa3,Sexta-feira,1
2025-02-21,99f4867fc1d0,Sexta-feira,1
2025-02-21,90f5a0342ec9,Sexta-feira,1
2025-02-21,2805df6072ae,Sexta-feira,1
2025-02-21,0ed03ff72524,Sexta-feira,1
2025-02-21,b5aa367e44d9,Sexta-feira,1
2025-02-21,b760a4399689,Sexta-feira,1
2025-02-21,5d913808f20e,Sexta-feira,1
2025-02-21,ebb56062e4d9,Sexta-feira,1
2025-02-21,3df02e7750c9,Sexta-feira,1
2025-02-21,5d75dfa0aca7,Sexta-feira,1
2025-02-21,33acb4bc7754,Sexta-feira,1
2025-02-21,f952e271f8eb,Sexta-feira,1
2025-02-21,a798330c2351,Sexta-feira,1
2025-02-21,77254e946f70,Sexta-feira,1
2025-02-21,dd07d058b106,Sexta-feira,1
2025-02-21,21aed9963321,Sexta-feira,1
2025-02-21,3986123f5876,Sexta-feira,1
2025-02-21,3d97ba9f7523,Sexta-feira,1
2025-02-21,46c2b91415ad,Sexta-feira,1
2025-02-21,890980dc60a8,Sexta-feira,1
2025-02-21,350d4dcf4cfe,Sexta-feira,1
2025-02-21,05dc8738db99,Sexta-feira,1
2025-02-21,54922f52e380,Sexta-feira,1
2025-02-21,4e184a46a6f6,Sexta-feira,1
2025-02-21,2877a4c33350,Sexta-feira,1
2025-02-21,54cd77b146df,Sexta-feira,1
2025-02-21,5a165e86851e,Sexta-feira,1
2025-02-21,a1dbb834590b,Sexta-feira,1
2025-02-21,ef29dc683090,Sexta-feira,1
2025-02-21,a9d0dd49108a,Sexta-feira,1
2025-02-21,9265272adfd5,Sexta-feira,1
2025-02-21,f6577d609edc,Sexta-feira,1
2025-02-21,9ea9ebb83721,Sexta-feira,1
2025-02-21,2f9cf9ac860e,Sexta-feira,1
2025-02-21,df497f8442d9,Sexta-feira,1
2025-02-21,388ba8d92202,Sexta-feira,1
2025-02-21,4018ed976111,Sexta-feira,1
2025-02-21,4c4b7c39f13b,Sexta-feira,1
2025-02-21,531be3f53cb6,Sexta-feira,1
2025-02-21,f5152a1e93a1,Sexta-feira,1
2025-02-21,87671c31b33e,Sexta-feira,1
2025-02-21,85567f102e4f,Sexta-feira,1
2025-02-21,08352becd6b1,Sexta-feira,1
2025-02-21,b2dfe6286b95,Sexta-feira,1
2025-02-21,49e0e2bea2f1,Sexta-feira,1
2025-02-21,db6cfb0073b0,Sexta-feira,1
2025-02-21,a62ff62c3ca1,Sexta-feira,1
2025-02-21,2c5488e64d4a,Sexta-feira,1
2025-02-21,f046fedc86bc,Sexta-feira,1
2025-02-21,ea36f6b0016c,Sexta-feira,1
2025-02-21,26629117c59b,Sexta-feira,1
2025-02-21,654f874b1492,Sexta-feira,1
2025-02-21,9fb9fdb73cd0,Sexta-feira,1
2025-02-21,c33c2152e936,Sexta-feira,1
2025-02-21,7f322c365f5e,Sexta-feira,1
2025-02-21,344293b0a359,Sexta-feira,1
2025-02-21,fab4e61e95af,Sexta-feira,1
2025-02-21,2943f13141f4,Sexta-feira,1
2025-02-21,cd0b54079260,Sexta-feira,1
2025-02-21,eb836b5d098b,Sexta-feira,1
2025-02-21,ff36875fc73b,Sexta-feira,1
2025-02-21,13aa0b70205d,Sexta-feira,1
2025-02-21,ee6d9cabbd62,Sexta-feira,1
2025-02-21,8f3880a65e10,Sexta-feira,1
2025-02-21,8ad34463589f,Sexta-feira,1
2025-02-21,53d396b549b3,Sexta-feira,1
2025-02-21,65c4dfa54706,Sexta-feira,1
2025-02-21,18a9b7454ed9,Sexta-feira,1
2025-02-21,af2150281952,Sexta-feira,1
2025-02-21,59e1e5026971,Sexta-feira,1
2025-02-21,c4ecf3f52bb8,Sexta-feira,1
2025-02-21,f1b66cb006fb,Sexta-feira,1
2025-02-21,fe808dda56b5,Sexta-feira,1
2025-02-21,9f6322171563,Sexta-feira,1
2025-02-21,9dacd50beab0,Sexta-feira,1
2025-02-21,128c44be9922,Sexta-feira,1
2025-02-21,a5aa01d3d621,Sexta-feira,1
2025-02-21,e9a75f358a09,Sexta-feira,1
2025-02-21,893d2120cdff,Sexta-feira,1
2025-02-21,900a3332acba,Sexta-feira,1
2025-02-21,12ae50e0b7ba,Sexta-feira,1
2025-02-21,30fcdb0c3d1c,Sexta-feira,1
2025-02-21,29c0b6029c83,Sexta-feira,1
2025-02-21,fbdc4dc29770,Sexta-feira,1
2025-02-21,6fcd7eac6db9,Sexta-feira,1
2025-02-21,d1ca679f360f,Sexta-feira,1
2025-02-21,7eef1bb45b03,Sexta-feira,1
2025-02-21,f3f278a5f357,Sexta-feira,1
2025-02-21,de2191ca835f,Sexta-feira,1
2025-02-21,1cb35ccd8f51,Sexta-feira,1
2025-02-21,2a22f48c531e,Sexta-feira,1
2025-02-21,fdf6171b69f3,Sexta-feira,1
2025-02-21,3a8d2c066871,Sexta-feira,1
2025-02-21,1b568ac690ed,Sexta-feira,1
2025-02-21,6271d49142ae,Sexta-feira,1
2025-02-21,583b698fc11e,Sexta-feira,1
2025-02-21,91b61366ae3a,Sexta-feira,1
2025-02-21,7ecb38769994,Sexta-feira,1
2025-02-21,e8011f9b6da2,Sexta-feira,1
2025-02-21,a2a66182c619,Sexta-feira,1
2025-02-21,3f6652f14ca6,Sexta-feira,1
2025-02-21,3bbeeb77a9b7,Sexta-feira,1
2025-02-21,c15d25d9c7df,Sexta-feira,1
2025-02-21,10eed8dbb990,Sexta-feira,1
2025-02-21,bdedbfa75ab5,Sexta-feira,1
2025-02-21,1e569095fb53,Sexta-feira,1
2025-02-21,01f8451aaa06,Sexta-feira,1
2025-02-21,b178e12462fe,Sexta-feira,1
2025-02-21,16d6f8ce4490,Sexta-feira,1
2025-02-21,81830914ea9b,Sexta-feira,1
2025-02-21,dd21cb91de2f,Sexta-feira,1
2025-02-21,ca38cf9a4795,Sexta-feira,1
2025-02-21,1e98c346dfb0,Sexta-feira,1
2025-02-21,7513ec5884be,Sexta-feira,1
2025-02-21,0b7c89f1b49a,Sexta-feira,1
2025-02-21,e0e43d92221a,Sexta-feira,1
2025-02-21,37c36f612b80,Sexta-feira,1
2025-02-21,7d8672f9c5ba,Sexta-feira,1
2025-02-21,49bc71388ba8,Sexta-feira,1
2025-02-21,46b817512975,Sexta-feira,1
2025-02-21,d43c1b4d5f48,Sexta-feira,1
2025-02-21,5b05f5381029,Sexta-feira,1
2025-02-21,6ffc8e8f2a96,Sexta-feira,1
2025-02-21,51613989a44d,Sexta-feira,1
2025-02-21,3eb8847a2ddd,Sexta-feira,1
2025-02-21,36a6ba66bcdb,Sexta-feira,1
2025-02-21,99f8e69a8ce5,Sexta-feira,1
2025-02-21,14fd70902b6d,Sexta-feira,1
2025-02-21,82a20e4f739f,Sexta-feira,1
2025-02-21,7bfabf2e81b6,Sexta-feira,1
2025-02-21,589505b2bb0c,Sexta-feira,1
2025-02-21,fc6d6e7ec3f7,Sexta-feira,1
2025-02-21,bd3acd0cb3d8,Sexta-feira,1
2025-02-21,7a2268f31f0e,Sexta-feira,1
2025-02-21,0971a43c824f,Sexta-feira,1
2025-02-21,882e13e14ee1,Sexta-feira,1
2025-02-21,f5a842dc5642,Sexta-feira,1
2025-02-21,2cb319d4a66d,Sexta-feira,1
2025-02-21,2254d98be549,Sexta-feira,1
2025-02-21,5eb6fb4f55df,Sexta-feira,1
2025-02-21,d7efc127e146,Sexta-feira,1
2025-02-21,c29c85e4bb75,Sexta-feira,1
2025-02-21,dfa4128fd68e,Sexta-feira,1
2025-02-21,2beb69192152,Sexta-feira,1
2025-02-21,08ff5947a2e6,Sexta-feira,1
2025-02-21,f208a3bbc402,Sexta-feira,1
2025-02-21,7bfac74a5c74,Sexta-feira,1
2025-02-21,f3fc55ccd294,Sexta-feira,1
2025-02-21,b4b6d2633322,Sexta-feira,1
2025-02-21,a9edb10a2d7c,Sexta-feira,1
2025-02-21,6dcf75c8e8b0,Sexta-feira,1
2025-02-21,a199fd43683b,Sexta-feira,1
2025-02-21,2d5baea2c5cf,Sexta-feira,1
2025-02-21,d3105e9150d0,Sexta-feira,1
2025-02-21,d4f4b19df103,Sexta-feira,1
2025-02-21,d5189ba83998,Sexta-feira,1
2025-02-21,c95e46decf87,Sexta-feira,1
2025-02-21,8bf10769b054,Sexta-feira,1
2025-02-21,0452546cf3ef,Sexta-feira,1
2025-02-21,0ffd5442a593,Sexta-feira,1
2025-02-21,5bb50fd110f1,Sexta-feira,1
2025-02-21,b9455f9be079,Sexta-feira,1
2025-02-21,4910bf8d889c,Sexta-feira,1
2025-02-21,c4a3e5f2f9f7,Sexta-feira,1
2025-02-21,94e476db2979,Sexta-feira,1
2025-02-21,d0c78594839a,Sexta-feira,1
2025-02-21,d5bcf6e87db1,Sexta-feira,1
2025-02-21,3a2a0a233509,Sexta-feira,1
2025-02-21,568da91e65b1,Sexta-feira,1
2025-02-21,89aab8c5b9bc,Sexta-feira,1
2025-02-21,9a5dc5b041bc,Sexta-feira,1
2025-02-21,caa915a0e28e,Sexta-feira,1
2025-02-21,ddcea913c455,Sexta-feira,1
2025-02-21,254ca5d6a606,Sexta-feira,1
2025-02-21,0cdce6f54e3c,Sexta-feira,1
2025-02-21,807cb92b4ed6,Sexta-feira,1
2025-02-21,4453cf2f2ad1,Sexta-feira,1
2025-02-21,ffb76b111799,Sexta-feira,1
2025-02-21,46eed6070c3b,Sexta-feira,1
2025-02-21,1acddcd20312,Sexta-feira,1
2025-02-21,dea4438f1d5a,Sexta-feira,1
2025-02-24,d1802eda22a6,Segunda-feira,1
2025-02-24,187b0e064be0,Segunda-feira,1
2025-02-24,5d913808f20e,Segunda-feira,1
2025-02-24,46c2b91415ad,Segunda-feira,1
2025-02-24,df497f8442d9,Segunda-feira,1
2025-02-24,47ea4259aebe,Segunda-feira,1
2025-02-24,efdc2c15dba5,Segunda-feira,1
2025-02-24,040eef61e258,Segunda-feira,1
2025-02-24,dce3c331d630,Segunda-feira,1
2025-02-24,bf04e4b2c5fd,Segunda-feira,1
2025-02-24,023886d488c5,Segunda-feira,1
2025-02-24,772130313177,Segunda-feira,1
2025-02-24,1e57be41a013,Segunda-feira,1
2025-02-24,1e5e8f282d59,Segunda-feira,1
2025-02-24,b2d88ec926a1,Segunda-feira,1
