data,proteina_principal,preparo_principal,proteina_vegetariana
2025-08-08,BOVINA,MOLHO,VEGETAL
2025-08-11,BOVINA,ASSADO,VEGETAL
2025-08-12,AVE,COZIDO,VEGETAL
2025-08-13,BOVINA,COZIDO,VEGETAL
2025-08-14,SUINA,COZIDO,VEGETAL
2025-08-15,PEIXE,COZIDO,OVO
2025-08-18,AVE,COZIDO,VEGETAL
2025-08-19,SUINA,COZIDO,VEGETAL
2025-08-20,BOVINA,COZIDO,VEGETAL
2025-08-21,AVE,ASSADO,VEGETAL
2025-08-22,BOVINA,MOLHO,VEGETAL
2025-08-25,BOVINA,MOLHO,VEGETAL
2025-08-26,AVE,COZIDO,VEGETAL
2025-08-27,BOVINA,COZIDO,VEGETAL
2025-08-28,BOVINA,COZIDO,VEGETAL
2025-08-29,AVE,COZIDO,VEGETAL
